Ticker,Weight,Sector,Score,Price
AES,0.011238558350360183,Utilities,0.9706865478613581,14.649999618530273
MO,0.01107464043032049,Consumer Defensive,0.9565287782457521,61.9900016784668
ORLY,0.010962641713727937,Consumer Cyclical,0.9468553268843821,98.41000366210938
CINF,0.010649262045394448,Financial Services,0.9197883829809568,160.88999938964844
DVN,0.010635564972225134,Energy,0.9186053518255328,40.209999084472656
HPE,0.010621678124411674,Technology,0.9174059296270183,21.520000457763672
IBKR,0.010613674290566734,Financial Services,0.9167146297643138,74.87999725341797
F,0.010608952394031016,Consumer Cyclical,0.9163067944081474,13.880000114440918
SYF,0.010575999014653418,Financial Services,0.9134605750736738,72.62999725341797
ACGL,0.010555302749218634,Financial Services,0.9116730160449956,96.04000091552734
DOV,0.010540031710537414,Industrials,0.9103540397708496,201.49000549316406
VICI,0.010496685664867651,Real Estate,0.90661019450859,28.079999923706055
BG,0.010492097774617338,Consumer Defensive,0.9062139334215173,113.87999725341797
CARR,0.010466902686081792,Industrials,0.9040378061326605,59.58000183105469
UAL,0.010459713719172179,Industrials,0.9034168872163157,102.31999969482422
CNC,0.010438068580516664,Healthcare,0.9015473729721842,43.31999969482422
TAP,0.010351186714532988,Consumer Defensive,0.8940432914045743,48.040000915527344
DAL,0.010324819679341759,Industrials,0.8917659418042766,65.88999938964844
UBER,0.010261860247743346,Technology,0.8863280669978858,80.05000305175781
ON,0.010243307271752905,Technology,0.8847256262172017,59.88999938964844
STLD,0.010234488570972646,Basic Materials,0.8839639454081379,179.57000732421875
TRMB,0.010233707002828133,Technology,0.8838964405146753,67.5999984741211
GL,0.0102277906900688,Financial Services,0.8833854421259681,140.22000122070312
HIG,0.010215556045693915,Financial Services,0.8823287225412726,135.05999755859375
PHM,0.010194346224685432,Consumer Cyclical,0.8804968071573194,125.08999633789062
PCAR,0.010175168156403815,Industrials,0.8788403764733664,122.91000366210938
CF,0.010164183696611285,Basic Materials,0.8778916366952086,93.2300033569336
HST,0.010152897925457127,Real Estate,0.8769168723259663,18.530000686645508
UHS,0.010141913465664594,Healthcare,0.8759681325478084,201.25999450683594
AFL,0.010130873237513322,Financial Services,0.8750145759956536,110.94999694824219
HPQ,0.010118426348926362,Technology,0.8739395246467673,19.440000534057617
TRV,0.01011182917551711,Financial Services,0.8733697195807943,284.510009765625
FSLR,0.010081097323510525,Technology,0.8707153759894116,225.52000427246094
EG,0.010052944078595314,Financial Services,0.8682837495062011,331.2799987792969
MOH,0.010028206777274727,Healthcare,0.8661471617986224,179.58999633789062
APA,0.010023239337736124,Energy,0.8657181186253685,26.40999984741211
ALL,0.010009542264566811,Financial Services,0.8645350874699447,198.99000549316406
FANG,0.010005880777969298,Energy,0.8642188408772252,163.9499969482422
XYZ,0.00995583685139569,Technology,0.859896492332796,60.43000030517578
KHC,0.009946750138044615,Consumer Defensive,0.8591116629855444,23.739999771118164
EOG,0.009943412432376656,Energy,0.8588233817050096,112.12999725341797
LEN,0.009911106614858164,Consumer Cyclical,0.8560330929949048,109.3499984741211
GPN,0.009897219767044704,Industrials,0.8548336707963902,71.73999786376953
BLDR,0.009808763935549122,Industrials,0.8471936441100582,114.4000015258789
LYB,0.009808574160904977,Basic Materials,0.8471772530669675,49.0
PCG,0.009806754652390184,Utilities,0.8470201001311578,15.420000076293945
TROW,0.009782776449646181,Financial Services,0.8449490765959417,105.68000030517578
IT,0.009767371404679556,Technology,0.8436185260527018,209.61000061035156
UPS,0.009766690544029639,Industrials,0.8435597193754361,106.22000122070312
CB,0.00975635364609621,Financial Services,0.842666910221647,309.55999755859375
APTV,0.009750169320766064,Consumer Cyclical,0.8421327632947523,75.75
CTSH,0.00974675337717144,Technology,0.8418377245191206,82.05999755859375
BIIB,0.009736606253882157,Healthcare,0.8409613064084221,179.88999938964844
PAYC,0.009696140126665392,Technology,0.8374662028454193,134.75
DVA,0.009669639085188753,Healthcare,0.8351772789760277,109.33999633789062
CMI,0.009639197715320907,Industrials,0.8325480246439324,578.8200073242188
KMB,0.0096220064606303,Consumer Defensive,0.8310631972177799,99.98999786376953
PFG,0.009607516990093592,Financial Services,0.8298117258370965,94.72000122070312
MLM,0.00957054504439812,Basic Materials,0.8266184185448221,651.9500122070312
ELV,0.009564282481141306,Healthcare,0.8260775141228306,345.739990234375
